"統計期","發生數(件)",,,,,,,,,,,,,,,,,,,,,
,"新北市","臺北市","桃園市","臺中市","臺南市","高雄市","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"99年 1月",1043,348,446,220,294,724,79,98,67,243,114,70,77,149,22,105,20,54,74,57,17,－
"99年 2月",823,352,280,228,310,752,91,104,86,253,137,80,115,167,18,95,20,64,175,48,15,1
"99年 3月",867,374,616,212,428,1023,86,108,99,312,108,74,110,212,12,128,13,75,55,58,15,－
"99年 4月",847,289,371,174,308,594,89,109,84,230,120,54,98,178,6,98,14,56,43,64,5,1
"99年 5月",972,397,480,187,333,787,112,120,10,295,85,57,115,179,4,102,19,65,67,53,5,－
"99年 6月",831,354,454,191,355,716,89,104,17,229,110,67,83,155,9,96,23,69,47,62,3,－
"99年 7月",859,342,475,196,295,655,81,121,22,213,122,74,81,198,9,102,22,70,59,64,15,－
"99年 8月",941,423,478,130,358,831,70,132,35,225,105,70,104,181,14,118,18,92,65,81,11,－
"99年 9月",958,341,447,165,332,661,72,153,58,246,106,69,98,126,22,124,32,91,85,57,14,－
"99年 10月",864,308,463,166,300,631,94,172,18,197,119,70,124,117,30,60,30,37,93,71,11,－
"99年 11月",750,280,409,98,224,610,62,71,47,187,101,72,72,8,17,33,10,8,66,79,6,－
"99年 12月",751,256,341,110,307,551,81,9,13,231,120,74,94,591,10,99,22,67,63,57,10,1
"100年 1月",919,317,349,206,333,644,102,174,48,242,129,73,90,217,22,86,27,76,137,78,11,－
"100年 2月",821,377,353,146,359,898,116,141,99,267,129,101,90,242,23,90,16,66,164,71,12,1
"100年 3月",834,319,367,190,378,754,72,123,64,249,136,90,101,265,17,120,12,45,89,52,11,1
"100年 4月",819,315,289,196,290,569,86,83,61,186,100,68,108,188,26,94,21,55,100,60,11,－
"100年 5月",853,346,296,175,351,656,102,91,11,229,109,74,128,155,18,100,13,53,71,66,6,－
"100年 6月",863,305,310,184,307,557,81,86,26,191,85,60,88,140,23,70,25,24,85,69,15,－
"100年 7月",1045,338,447,208,310,615,109,110,77,232,121,66,93,201,12,77,15,82,91,55,12,－
"100年 8月",981,332,484,195,325,709,154,143,44,238,138,59,104,168,28,87,30,85,78,46,14,1
"100年 9月",885,377,494,166,320,618,131,138,33,191,100,78,78,132,25,53,23,68,102,58,8,－
"100年 10月",984,387,469,258,344,632,104,106,36,173,122,48,86,133,19,49,25,61,99,72,7,－
"100年 11月",807,380,395,274,296,669,118,111,116,185,96,74,65,128,17,29,20,41,106,71,9,－
"100年 12月",916,317,448,261,368,746,140,60,127,224,99,86,113,147,14,50,13,47,111,56,7,1
"101年 1月",655,347,256,264,276,748,113,88,103,226,92,78,72,218,10,65,23,68,153,64,5,1
"101年 2月",809,277,376,222,339,685,83,148,62,192,97,77,104,207,32,50,13,90,113,58,5,－
"101年 3月",762,349,299,300,314,670,107,121,24,223,93,84,63,185,26,58,20,93,89,61,12,－
"101年 4月",812,303,381,325,316,625,112,113,12,235,94,77,65,174,25,67,14,89,82,59,12,－
"101年 5月",818,299,365,280,310,654,127,101,12,258,87,91,75,133,20,50,14,77,91,60,6,－
"101年 6月",1052,335,303,384,397,895,178,118,16,290,89,67,89,78,11,70,10,78,166,93,10,－
"101年 7月",1065,411,269,455,398,1107,185,141,133,283,118,132,97,84,40,72,17,105,254,71,18,－
"101年 8月",902,306,368,404,401,836,167,121,137,193,124,168,80,94,25,66,9,82,188,52,13,3
"101年 9月",896,387,348,327,365,587,126,100,28,167,67,104,79,91,138,55,18,63,102,42,21,－
"101年 10月",826,316,269,404,381,474,133,112,63,167,93,103,71,154,103,81,25,59,80,51,12,－
"101年 11月",681,294,296,489,312,291,103,100,80,164,95,79,62,150,104,50,12,56,52,36,4,1
"101年 12月",678,283,266,458,281,363,112,82,69,181,76,69,80,120,129,71,10,42,39,36,4,1
"102年 1月",683,294,327,443,354,396,110,68,103,186,82,88,60,137,115,84,17,53,63,42,13,－
"102年 2月",594,311,203,246,366,596,161,89,160,255,103,111,88,112,121,80,10,75,164,54,14,2
"102年 3月",622,214,192,315,349,541,108,93,47,210,81,114,55,135,93,65,15,46,67,69,12,1
"102年 4月",669,260,210,365,296,444,86,88,17,158,84,90,82,156,110,78,12,65,58,43,16,1
"102年 5月",768,285,310,376,322,449,88,107,8,160,71,114,79,177,103,72,15,67,98,44,13,1
"102年 6月",866,461,364,448,396,537,93,75,12,207,92,105,80,186,105,100,22,81,113,62,11,－
"102年 7月",1202,609,513,528,472,445,120,93,46,321,74,173,115,246,134,128,18,127,138,75,12,－
"102年 8月",1466,654,428,664,482,387,127,123,66,286,79,158,133,270,166,172,26,113,140,67,8,－
"102年 9月",1391,658,532,700,594,501,139,135,27,366,94,156,127,264,186,186,20,101,155,91,8,1
"102年 10月",1209,716,530,533,627,405,158,122,105,266,103,171,139,320,169,199,22,102,144,95,12,2
"102年 11月",1091,620,536,519,534,494,131,128,45,280,111,153,149,261,143,210,20,79,145,95,6,1
"102年 12月",968,560,425,458,434,460,134,82,30,203,100,147,118,281,115,195,7,55,107,79,12,1
"103年 1月",1443,876,432,884,610,654,220,137,182,325,137,151,148,346,123,228,25,93,400,118,21,－
"103年 2月",861,534,252,695,480,558,131,111,67,259,89,154,152,117,125,157,16,97,214,56,12,－
"103年 3月",1073,420,314,631,509,620,108,117,123,191,81,127,121,292,244,178,15,132,131,65,17,1
"103年 4月",1174,277,284,455,482,586,121,107,103,202,90,158,112,133,141,171,19,138,141,82,13,－
"103年 5月",903,484,277,384,454,469,155,127,47,185,110,133,128,133,28,171,25,182,177,55,15,－
"103年 6月",817,574,298,262,483,450,150,128,59,195,91,148,127,166,20,183,20,138,218,14,13,－
"103年 7月",820,605,715,486,524,407,130,111,63,195,105,165,139,224,38,178,21,143,211,38,12,－
"103年 8月",879,711,602,597,527,378,120,107,73,236,105,188,134,243,279,160,26,146,210,33,23,－
"103年 9月",774,665,492,592,498,363,142,121,69,221,122,153,113,201,214,173,21,138,193,45,14,－
"103年 10月",782,667,476,595,541,379,112,112,61,196,121,176,105,233,172,189,27,114,144,61,11,－
"103年 11月",624,646,462,485,417,360,89,109,54,236,110,147,111,185,83,174,19,83,155,51,6,－
"103年 12月",595,535,387,563,408,335,149,89,62,262,135,155,122,273,110,162,16,65,144,56,12,－
"104年 1月",737,789,529,639,550,416,189,120,121,322,171,170,140,269,128,180,25,127,171,70,12,1
